price,Area,bathroom,bedroom,location
PKR2.3 Crore,5 Marla,4,3,"Eden Valley, Faisalabad, Punjab"
PKR2.75 Crore,7 Marla,5,4,"Muslim Town, Faisalabad, Punjab"
PKR2.6 Crore,6.3 Marla,5,4,"Khayaban Gardens, Faisalabad, Punjab"
PKR8.5 Crore,12 Marla,5,5,"Canal Road, Faisalabad, Punjab"
PKR8 Crore,12 Marla,6,5,"Canal Road, Faisalabad, Punjab"
PKR6 Crore,1 Kanal,6,6,"Citi Housing, Faisalabad, Punjab"
PKR3 Crore,10 Marla,4,5,"Citi Housing, Faisalabad, Punjab"
PKR2 Crore,4 Marla,-,-,"Eden Gardens, Faisalabad, Punjab"
PKR2.4 Crore,5 Marla,-,-,"Eden Orchard, Faisalabad, Punjab"
PKR2.4 Crore,5 Marla,4,3,"Eden Valley, Faisalabad, Punjab"
PKR1.95 Crore,5 Marla,-,-,"Citi Housing, Faisalabad, Punjab"
PKR25 Crore,1.8 Kanal,5,5,"Canal Road, Faisalabad, Punjab"
PKR28 Crore,12.6 Kanal,7,11,"Raza Town, Faisalabad, Punjab"
PKR2.5 Crore,8 Marla,4,3,"Faisal Gardens, Faisalabad, Punjab"
PKR2.45 Crore,5 Marla,4,3,"Eden Gardens, Faisalabad, Punjab"
PKR5.5 Crore,10 Marla,6,5,"Eden Valley, Faisalabad, Punjab"
PKR1.6 Crore,4 Marla,4,3,"Samundari Road, Faisalabad, Punjab"
PKR2.48 Crore,5 Marla,4,3,"Eden Gardens, Faisalabad, Punjab"
PKR8 Crore,12 Marla,6,5,"Canal Road, Faisalabad, Punjab"
PKR2.7 Crore,5 Marla,4,3,"Eden Valley, Faisalabad, Punjab"
PKR2.35 Crore,5 Marla,4,3,"Eden Gardens, Faisalabad, Punjab"
PKR2.72 Crore,8 Marla,5,5,"Gulbahar Colony, Faisalabad, Punjab"
PKR1.7 Crore,5 Marla,4,3,"Citi Housing, Faisalabad, Punjab"
PKR2.6 Crore,5 Marla,4,3,"Eden Valley, Faisalabad, Punjab"
PKR3.8 Crore,7 Marla,-,4,"Eden Valley, Faisalabad, Punjab"
PKR1.4 Crore,5 Marla,2,2,"Canal Road, Faisalabad, Punjab"
PKR8.5 Crore,1 Kanal,6,5,"Khayaban Gardens, Faisalabad, Punjab"
PKR1.8 Crore,5 Marla,4,3,"Canal Road, Faisalabad, Punjab"
PKR3.5 Crore,7 Marla,5,4,"Eden Orchard, Faisalabad, Punjab"
PKR3 Crore,9 Marla,6,6,"Khayaban Gardens, Faisalabad, Punjab"
PKR34 Crore,3 Kanal,7,6,"Eden Valley, Faisalabad, Punjab"
PKR2.65 Crore,5 Marla,-,-,"Eden Valley, Faisalabad, Punjab"
PKR12.5 Crore,1 Kanal,5,5,"Paradise Valley, Faisalabad, Punjab"
PKR2.75 Crore,5 Marla,-,-,"Eden Valley, Faisalabad, Punjab"
PKR2.25 Crore,4 Marla,-,-,"Eden Valley, Faisalabad, Punjab"
PKR9 Crore,1 Kanal,7,7,"Canal Road, Faisalabad, Punjab"
PKR4.9 Crore,15 Marla,4,2,"Wapda City, Faisalabad, Punjab"
PKR2 Crore,5 Marla,5,4,"Madina Town, Faisalabad, Punjab"
PKR15.5 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR10.5 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR2.85 Crore,5 Marla,4,3,"DHA Defence, Lahore, Punjab"
PKR9.75 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR1.8 Crore,5 Marla,4,4,"Park View City, Lahore, Punjab"
PKR7.75 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR9.13 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR4.2 Crore,10 Marla,6,5,"Wapda Town, Lahore, Punjab"
PKR13.5 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR4.5 Crore,10 Marla,6,5,"PIA Housing Scheme, Lahore, Punjab"
PKR2.8 Crore,5 Marla,4,3,"DHA Defence, Lahore, Punjab"
PKR2.65 Crore,5 Marla,4,3,"DHA Defence, Lahore, Punjab"
PKR7.47 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR5.85 Crore,10 Marla,5,4,"DHA Defence, Lahore, Punjab"
PKR7.1 Crore,10 Marla,5,4,"DHA Defence, Lahore, Punjab"
PKR1.65 Crore,3 Marla,3,3,"Farooq Colony, Lahore, Punjab"
PKR4.4 Crore,8 Marla,5,4,"DHA 11 Rahbar, Lahore, Punjab"
PKR32 Crore,2 Kanal,7,8,"DHA Defence, Lahore, Punjab"
PKR9.9 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR11.75 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR7.85 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR5.6 Crore,10 Marla,6,5,"DHA Defence, Lahore, Punjab"
PKR2.45 Crore,5 Marla,4,4,"Park View City, Lahore, Punjab"
PKR5.65 Crore,10 Marla,6,5,"DHA Defence, Lahore, Punjab"
PKR1.9 Crore,5 Marla,4,4,"Park View City, Lahore, Punjab"
PKR3.5 Crore,10 Marla,6,5,"Bahria Town, Lahore, Punjab"
PKR7.49 Crore,10 Marla,7,5,"Raiwind Road, Lahore, Punjab"
PKR1.88 Crore,5 Marla,4,4,"Park View City, Lahore, Punjab"
PKR7.79 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR18 Crore,1 Kanal,7,6,"DHA Defence, Lahore, Punjab"
PKR2.3 Crore,5 Marla,4,3,"DHA 11 Rahbar, Lahore, Punjab"
PKR7.75 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR10.5 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR3.3 Crore,5 Marla,3,3,"DHA Defence, Lahore, Punjab"
PKR1.37 Crore,3 Marla,3,3,"Raiwind Road, Lahore, Punjab"
PKR2.85 Crore,5 Marla,4,3,"DHA Defence, Lahore, Punjab"
PKR2.7 Crore,5 Marla,4,3,"DHA Defence, Lahore, Punjab"
PKR9 Crore,1 Kanal,7,6,"DHA Defence, Lahore, Punjab"
PKR24 Crore,2 Kanal,6,5,"Zaman Park, Lahore, Punjab"
PKR2.55 Crore,5 Marla,5,4,"Johar Town, Lahore, Punjab"
PKR8.9 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR2.52 Crore,5 Marla,4,3,"DHA Defence, Lahore, Punjab"
PKR5.85 Crore,9 Marla,5,4,"DHA Defence, Lahore, Punjab"
PKR5.85 Crore,10 Marla,6,5,"DHA Defence, Lahore, Punjab"
PKR7.9 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR6.25 Crore,12 Marla,5,4,"DHA Defence, Lahore, Punjab"
PKR5.85 Crore,10 Marla,5,4,"DHA Defence, Lahore, Punjab"
PKR6 Crore,10 Marla,5,4,"DHA Defence, Lahore, Punjab"
PKR5.75 Crore,10 Marla,5,4,"DHA Defence, Lahore, Punjab"
PKR5.8 Crore,10 Marla,5,4,"DHA Defence, Lahore, Punjab"
PKR19.5 Crore,1 Kanal,7,6,"DHA Defence, Lahore, Punjab"
PKR18 Crore,2 Kanal,7,7,"DHA Defence, Lahore, Punjab"
PKR2.3 Crore,8.5 Marla,6,5,"Formanites Housing Scheme, Lahore, Punjab"
PKR7.83 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR1.7 Crore,5 Marla,4,4,"Park View City, Lahore, Punjab"
PKR9.99 Crore,1 Kanal,6,6,"DHA Defence, Lahore, Punjab"
PKR2.63 Crore,5 Marla,4,3,"DHA Defence, Lahore, Punjab"
PKR9.5 Crore,1 Kanal,6,5,"Fazaia Housing Scheme, Lahore, Punjab"
